date,ticker,open,high,low,close,volume,range_ratio,is_range_outlier,is_volume_outlier
2020-01-02,ACB,6.58,6.64,6.55,6.64,1163109,1.355421686746986,False,False
2020-01-03,ACB,6.64,6.7,6.61,6.64,1055528,1.355421686746986,False,False
2020-01-06,ACB,6.64,6.64,6.49,6.49,1286035,2.31124807395993,False,False
2020-01-07,ACB,6.49,6.55,6.49,6.49,1050934,0.9244992295839694,False,False
2020-01-08,ACB,6.49,6.49,6.35,6.38,2304937,2.194357366771169,False,False
2020-01-09,ACB,6.41,6.52,6.41,6.46,1422248,1.7027863777089696,False,False
2020-01-10,ACB,6.49,6.67,6.49,6.55,2371501,2.748091603053431,False,False
2020-01-13,ACB,6.61,6.61,6.55,6.61,1523181,0.9077155824508396,False,False
2020-01-14,ACB,6.61,6.78,6.61,6.78,2851982,2.5073746312684353,False,False
2020-01-15,ACB,6.78,6.78,6.7,6.72,1158657,1.1904761904761916,False,False
2020-01-16,ACB,6.72,6.93,6.72,6.9,2819687,3.0434782608695645,False,False
2020-01-17,ACB,6.93,6.96,6.84,6.87,2706194,1.746724890829696,False,False
2020-01-20,ACB,6.87,7.13,6.87,7.01,4443379,3.708987161198285,False,False
2020-01-22,ACB,7.1,7.1,7.01,7.07,1574379,1.272984441301271,False,False
2020-01-30,ACB,6.98,7.01,6.7,6.81,4250097,4.5521292217327405,False,False
2020-01-31,ACB,6.78,6.87,6.61,6.64,4243264,3.9156626506024064,False,False
2020-02-03,ACB,6.44,6.64,6.26,6.52,4430186,5.828220858895705,False,False
2020-02-04,ACB,6.61,6.7,6.49,6.7,2397062,3.134328358208954,False,False
2020-02-05,ACB,6.75,6.78,6.61,6.64,2790275,2.560240963855421,False,False
2020-02-06,ACB,6.67,6.93,6.64,6.93,2980981,4.184704184704185,False,False
2020-02-07,ACB,6.93,6.96,6.81,6.87,2007251,2.183406113537123,False,False
2020-02-10,ACB,6.87,6.9,6.75,6.81,1271190,2.2026431718061725,False,False
2020-02-11,ACB,6.81,6.87,6.78,6.84,1862090,1.3157894736842086,False,False
2020-02-12,ACB,6.87,7.42,6.87,7.39,10516207,7.442489851150201,False,False
2020-02-13,ACB,7.39,7.42,7.24,7.36,3773365,2.4456521739130395,False,False
2020-02-14,ACB,7.36,7.73,7.36,7.62,8018099,4.855643044619424,False,False
2020-02-17,ACB,7.59,7.71,7.5,7.62,3764464,2.755905511811023,False,False
2020-02-18,ACB,7.62,7.82,7.59,7.68,6293208,2.9947916666666723,False,False
2020-02-19,ACB,7.65,7.71,7.47,7.59,5091969,3.162055335968382,False,False
2020-02-20,ACB,7.59,7.79,7.53,7.62,5578717,3.4120734908136456,False,False
2020-02-21,ACB,7.19,7.68,7.19,7.42,6333926,6.603773584905652,False,False
2020-02-24,ACB,7.36,7.39,6.87,6.93,10321149,7.5036075036074985,False,False
2020-02-25,ACB,6.78,7.24,6.67,7.24,8279866,7.872928176795583,False,False
2020-02-26,ACB,7.21,7.24,7.01,7.1,4519324,3.2394366197183158,False,False
2020-02-28,ACB,6.64,7.3,6.64,7.27,5959642,9.078404401650623,True,False
2020-03-02,ACB,7.04,7.36,7.04,7.27,3629494,4.4016506189821225,False,False
2020-03-03,ACB,7.39,7.47,7.3,7.39,6364207,2.30040595399188,False,False
2020-03-04,ACB,7.39,7.45,7.3,7.45,5047583,2.013422818791951,False,False
2020-03-05,ACB,7.5,7.62,7.33,7.39,5965022,3.9242219215155623,False,False
2020-03-06,ACB,7.36,7.36,7.24,7.3,3959935,1.6438356164383578,False,False
2020-03-17,ACB,6.0,6.18,5.8,6.09,6568088,6.239737274220031,False,False
2020-03-18,ACB,6.15,6.23,6.03,6.12,4944595,3.2679738562091534,False,False
2020-03-19,ACB,6.06,6.15,5.97,6.09,4083896,2.9556650246305516,False,False
2020-03-20,ACB,6.7,6.7,6.06,6.18,3341564,10.355987055016191,True,False
2020-03-23,ACB,6.12,6.18,5.57,5.57,10024177,10.951526032315968,True,False
2020-03-24,ACB,5.51,5.74,5.51,5.66,4315784,4.063604240282693,False,False
2020-03-25,ACB,5.77,6.0,5.77,5.92,4115341,3.8851351351351426,False,False
2020-03-26,ACB,5.95,5.95,5.69,5.69,3631529,4.569420035149381,False,False
2020-03-27,ACB,5.69,5.8,5.63,5.69,3980631,2.987697715289981,False,False
2020-03-30,ACB,5.63,5.63,5.17,5.25,5925098,8.761904761904761,False,False
2020-03-31,ACB,5.25,5.43,5.02,5.14,4532153,7.976653696498058,False,False
2020-04-01,ACB,4.65,5.48,4.65,5.37,2761168,15.456238361266294,True,False
2020-04-03,ACB,5.22,5.6,5.22,5.51,3574343,6.89655172413793,False,False
2020-04-06,ACB,5.6,6.0,5.51,5.95,5757259,8.235294117647062,False,False
2020-04-07,ACB,6.06,6.06,5.77,5.86,4467621,4.948805460750854,False,False
2020-04-08,ACB,6.44,6.44,5.69,5.83,2331536,12.864493996569468,True,False
2020-04-09,ACB,6.41,6.41,5.77,5.77,4068966,11.091854419410756,True,False
2020-04-10,ACB,5.48,5.83,5.48,5.71,2517477,6.129597197898418,False,False
2020-04-13,ACB,5.17,5.89,5.17,5.77,1926793,12.478336221837084,True,False
2020-04-14,ACB,5.77,5.83,5.69,5.77,3167293,2.426343154246095,False,False
2020-04-15,ACB,5.77,5.97,5.77,5.83,3686239,3.430531732418528,False,False
2020-04-16,ACB,5.83,5.89,5.8,5.89,1895213,1.5280135823429517,False,False
2020-04-17,ACB,5.92,6.09,5.92,6.06,4809341,2.8052805280528044,False,False
2020-04-20,ACB,6.12,6.12,5.95,5.97,3064104,2.847571189279731,False,False
2020-04-21,ACB,5.95,5.95,5.69,5.71,6015799,4.5534150612959685,False,False
2020-04-22,ACB,5.71,5.89,5.6,5.89,2637424,4.923599320882853,False,False
2020-04-23,ACB,5.92,6.0,5.86,5.86,2076603,2.3890784982935096,False,False
2020-04-24,ACB,5.83,5.89,5.77,5.86,1264729,2.047781569965872,False,False
2020-04-27,ACB,5.86,5.95,5.77,5.8,1806851,3.103448275862079,False,False
2020-04-28,ACB,5.8,5.89,5.77,5.86,1246915,2.047781569965872,False,False
2020-04-29,ACB,5.86,5.92,5.83,5.92,1196049,1.520270270270268,False,False
2020-05-04,ACB,5.92,5.92,5.8,5.86,1193939,2.047781569965872,False,False
2020-05-05,ACB,5.83,5.89,5.83,5.86,1126770,1.0238907849829284,False,False
2020-05-06,ACB,5.89,6.12,5.83,6.0,4453036,4.833333333333334,False,False
2020-05-07,ACB,6.03,6.12,6.0,6.12,2973997,1.960784313725492,False,False
2020-05-08,ACB,6.15,6.32,6.06,6.18,5995918,4.2071197411003345,False,False
2020-05-11,ACB,6.32,6.32,6.18,6.26,4108808,2.2364217252396257,False,False
2020-05-12,ACB,6.26,6.35,6.18,6.29,4057939,2.7027027027027013,False,False
2020-05-13,ACB,6.35,6.35,6.2,6.26,3453900,2.396166134185295,False,False
2020-05-14,ACB,6.26,6.29,6.18,6.18,3827622,1.7799352750809114,False,False
2020-05-15,ACB,6.2,6.41,6.18,6.26,6937907,3.6741214057508054,False,False
2020-05-18,ACB,6.32,6.32,6.18,6.29,2771622,2.225755166931646,False,False
2020-05-19,ACB,6.35,6.49,6.35,6.41,5561531,2.1840873634945486,False,False
2020-05-20,ACB,6.38,6.46,6.35,6.41,3116422,1.7160686427457148,False,False
2020-05-21,ACB,6.41,6.55,6.32,6.46,4622625,3.5603715170278565,False,False
2020-05-22,ACB,6.49,6.55,6.44,6.46,4841440,1.7027863777089696,False,False
2020-05-25,ACB,6.49,6.55,6.44,6.52,3519682,1.6871165644171693,False,False
2020-05-26,ACB,6.49,6.78,6.49,6.72,5267006,4.315476190476191,False,False
2020-05-27,ACB,6.78,6.84,6.58,6.58,6389497,3.9513677811550116,False,False
2020-05-28,ACB,6.58,6.7,6.58,6.61,3568932,1.8154311649016657,False,False
2020-05-29,ACB,6.61,6.64,6.55,6.61,2394358,1.3615733736762459,False,False
2020-06-01,ACB,6.64,7.24,6.61,7.24,13859688,8.701657458563535,False,False
2020-06-02,ACB,7.36,7.65,7.16,7.16,10935462,6.843575418994416,False,False
2020-06-03,ACB,7.16,7.36,7.16,7.36,3758964,2.7173913043478284,False,False
2020-06-04,ACB,7.39,7.42,7.27,7.3,5159832,2.0547945205479503,False,False
2020-06-05,ACB,7.33,7.33,7.19,7.27,4025847,1.9257221458046723,False,False
2020-06-08,ACB,7.27,7.5,7.27,7.33,6087882,3.137789904502052,False,False
2020-06-09,ACB,7.36,7.39,7.27,7.36,3531851,1.630434782608697,False,False
2020-06-10,ACB,7.36,7.47,7.27,7.39,6494275,2.7063599458728036,False,False
2020-06-11,ACB,7.39,7.45,7.04,7.07,9172138,5.799151343705801,False,False
2020-06-12,ACB,6.93,7.07,6.75,7.07,6648375,4.52616690240453,False,False
2020-06-15,ACB,7.13,7.13,6.7,6.72,5885937,6.39880952380952,False,False
2020-06-16,ACB,6.81,6.98,6.81,6.87,4198360,2.474526928675412,False,False
2020-06-17,ACB,7.01,7.01,6.78,6.84,1599340,3.362573099415198,False,False
2020-06-18,ACB,6.84,6.9,6.75,6.87,1301526,2.183406113537123,False,False
2020-06-19,ACB,6.87,7.07,6.87,7.04,2334941,2.8409090909090935,False,False
2020-06-22,ACB,7.04,7.13,6.93,6.96,2256643,2.8735632183908075,False,False
2020-06-23,ACB,6.98,7.04,6.9,6.93,3282364,2.0202020202020154,False,False
2020-06-24,ACB,6.93,7.01,6.84,6.87,3013466,2.4745269286753993,False,False
2020-06-25,ACB,6.84,6.87,6.78,6.84,2500893,1.3157894736842086,False,False
2020-06-26,ACB,6.87,6.93,6.81,6.81,1400341,1.7621145374449354,False,False
2020-06-29,ACB,6.81,6.81,6.55,6.61,4353272,3.933434190620269,False,False
2020-06-30,ACB,6.64,6.72,6.46,6.58,3585625,3.9513677811550116,False,False
2020-07-01,ACB,6.58,6.72,6.58,6.7,1676001,2.0895522388059655,False,False
2020-07-02,ACB,6.7,6.75,6.64,6.67,1070089,1.649175412293858,False,False
2020-07-03,ACB,6.7,6.72,6.64,6.64,1271360,1.204819277108435,False,False
2020-07-06,ACB,6.64,6.84,6.64,6.81,3204367,2.936857562408226,False,False
2020-07-07,ACB,6.84,6.93,6.84,6.84,2389942,1.3157894736842086,False,False
2020-07-08,ACB,6.81,6.93,6.81,6.9,1647694,1.7391304347826102,False,False
2020-07-09,ACB,6.9,7.01,6.9,7.01,2248695,1.5691868758915755,False,False
2020-07-10,ACB,7.01,7.04,6.87,6.93,2284971,2.4531024531024523,False,False
2020-07-13,ACB,6.96,6.98,6.87,6.9,1840084,1.594202898550729,False,False
2020-07-14,ACB,6.9,6.96,6.84,6.93,1406915,1.7316017316017334,False,False
2020-07-15,ACB,6.98,6.98,6.93,6.93,1570073,0.7215007215007319,False,False
2020-07-16,ACB,6.98,6.98,6.9,6.93,903322,1.1544011544011554,False,False
2020-07-17,ACB,6.96,7.21,6.93,7.16,7890281,3.9106145251396685,False,False
2020-07-28,ACB,6.29,6.61,6.2,6.61,2598740,6.2027231467473545,False,False
2020-07-29,ACB,6.55,6.58,6.23,6.41,4929532,5.460218408736344,False,False
2020-07-30,ACB,6.26,6.52,6.26,6.52,1914488,3.98773006134969,False,False
2020-07-31,ACB,6.55,6.55,6.38,6.49,2220749,2.6194144838212625,False,False
2020-08-03,ACB,6.38,6.7,6.38,6.7,3044620,4.776119402985079,False,False
2020-08-04,ACB,6.72,6.9,6.72,6.84,2907562,2.63157894736843,False,False
2020-08-05,ACB,6.9,7.04,6.84,6.93,5472736,2.886002886002889,False,False
2020-08-06,ACB,6.96,6.96,6.84,6.87,1874899,1.746724890829696,False,False
2020-08-07,ACB,6.9,6.96,6.78,6.84,2150978,2.6315789473684172,False,False
2020-08-10,ACB,6.84,6.96,6.84,6.87,2576760,1.746724890829696,False,False
2020-08-11,ACB,6.93,7.33,6.9,7.33,15333430,5.866302864938604,False,False
2020-08-12,ACB,7.45,7.47,7.27,7.33,6091725,2.7285129604365648,False,False
2020-08-13,ACB,7.33,7.39,7.3,7.36,3803166,1.2228260869565197,False,False
2020-08-14,ACB,7.36,7.36,7.21,7.3,6682494,2.0547945205479503,False,False
2020-08-17,ACB,7.3,7.45,7.27,7.45,6222301,2.4161073825503436,False,False
2020-08-18,ACB,7.5,7.53,7.39,7.39,4710796,1.8944519621109683,False,False
2020-08-19,ACB,7.42,7.45,7.33,7.39,9263369,1.6238159675236823,False,False
2020-08-31,ACB,8.03,8.07,7.92,7.95,7008237,1.8867924528301931,False,False
2020-09-01,ACB,7.95,7.99,7.88,7.92,7822064,1.388888888888893,False,False
2020-09-03,ACB,7.92,8.03,7.88,7.95,6080561,1.886792452830182,False,False
2020-09-04,ACB,7.88,7.95,7.8,7.92,4665691,1.8939393939393985,False,False
2020-09-07,ACB,7.92,7.95,7.8,7.8,6067374,1.9230769230769278,False,False
2020-09-08,ACB,7.8,7.84,7.73,7.73,12273484,1.4230271668822694,False,False
2020-09-09,ACB,7.73,7.84,7.62,7.84,5021412,2.806122448979589,False,False
2020-09-10,ACB,7.84,7.95,7.84,7.84,3249267,1.4030612244898,False,False
2020-09-11,ACB,7.84,7.88,7.77,7.8,2350091,1.4102564102564144,False,False
2020-09-14,ACB,7.8,7.99,7.8,7.95,5275848,2.389937106918244,False,False
2020-09-15,ACB,7.95,8.03,7.92,7.99,4632880,1.3767209011264008,False,False
2020-09-16,ACB,7.95,7.99,7.92,7.95,2194115,0.8805031446540916,False,False
2020-09-17,ACB,7.99,8.18,7.92,8.07,12323866,3.221809169764557,False,False
2020-09-18,ACB,8.07,8.14,8.03,8.14,3280690,1.3513513513513662,False,False
2020-09-21,ACB,8.18,8.37,8.1,8.25,7244851,3.2727272727272676,False,False
2020-09-22,ACB,8.25,8.37,8.14,8.37,8818518,2.747909199522087,False,False
2020-09-23,ACB,8.37,8.55,8.37,8.44,6511427,2.1327014218009657,False,False
2020-09-24,ACB,8.4,8.48,8.25,8.33,5599785,2.761104441776716,False,False
2020-09-25,ACB,8.33,8.4,8.22,8.33,6416344,2.160864345738292,False,False
2020-09-28,ACB,8.33,8.55,8.33,8.48,8207740,2.5943396226415167,False,False
2020-09-29,ACB,8.52,8.55,8.37,8.4,5923046,2.1428571428571606,False,False
2020-09-30,ACB,8.4,8.44,8.33,8.44,3624221,1.303317535545017,False,False
2020-10-01,ACB,8.37,8.55,8.33,8.44,6510267,2.6066350710900554,False,False
2020-10-02,ACB,8.4,8.82,8.4,8.63,23518516,4.866743916570103,False,False
2020-10-05,ACB,8.63,8.85,8.59,8.85,12875000,2.9378531073446306,False,False
2020-10-06,ACB,8.85,9.08,8.85,9.0,10965000,2.5555555555555602,False,False
2020-10-07,ACB,9.0,9.04,8.74,8.78,17681800,3.416856492027323,False,False
2020-10-08,ACB,8.7,8.89,8.63,8.7,13890500,2.9885057471264345,False,False
2020-10-09,ACB,8.7,8.93,8.67,8.82,8717300,2.94784580498866,False,False
2020-10-12,ACB,8.89,8.93,8.74,8.74,8642000,2.1739130434782554,False,False
2020-10-13,ACB,8.78,8.78,8.67,8.78,5319900,1.2528473804100164,False,False
2020-10-14,ACB,8.82,9.04,8.78,9.0,20284500,2.8888888888888866,False,False
2020-10-15,ACB,9.0,9.3,8.97,9.19,16334800,3.590859630032645,False,False
2020-10-16,ACB,9.19,9.38,9.08,9.27,8711000,3.236245954692565,False,False
2020-10-19,ACB,9.38,9.64,9.34,9.49,14148600,3.161222339304538,False,False
2020-10-20,ACB,9.53,9.6,9.38,9.49,11356300,2.3182297154899776,False,False
2020-10-21,ACB,9.53,9.6,9.45,9.45,8864800,1.587301587301591,False,False
2020-10-22,ACB,9.49,9.75,9.38,9.6,9439500,3.8541666666666585,False,False
2020-10-23,ACB,9.68,9.72,9.57,9.6,8023000,1.5625000000000038,False,False
2020-11-10,ACB,9.64,9.75,9.49,9.49,8852600,2.739726027397258,False,False
2020-11-11,ACB,9.49,9.57,9.45,9.53,4525100,1.2591815320042077,False,False
2020-11-12,ACB,9.53,9.9,9.53,9.9,18943100,3.7373737373737477,False,False
2020-11-13,ACB,9.9,10.02,9.87,9.94,6222800,1.509054325955738,False,False
2020-11-16,ACB,9.94,10.06,9.83,9.83,8979100,2.339776195320452,False,False
2020-11-17,ACB,9.83,10.21,9.83,10.21,16771100,3.7218413320274313,False,False
2020-11-18,ACB,10.21,10.39,10.09,10.21,7919600,2.93829578844271,False,False
2020-11-19,ACB,10.24,10.32,10.13,10.21,6411600,1.860920666013707,False,False
2020-11-20,ACB,10.24,10.28,10.06,10.24,9590800,2.148437499999989,False,False
2020-11-23,ACB,10.32,10.36,10.13,10.24,10891200,2.2460937499999867,False,False
2020-11-24,ACB,10.24,10.43,10.17,10.24,10353900,2.539062499999998,False,False
2020-11-25,ACB,10.24,10.36,10.17,10.24,6484600,1.8554687499999951,False,False
2020-11-26,ACB,10.24,10.39,10.13,10.28,10030200,2.52918287937743,False,False
2020-11-27,ACB,10.32,10.36,10.21,10.21,5460400,1.4691478942213376,False,False
2020-11-30,ACB,10.28,10.28,10.13,10.21,8939000,1.4691478942213376,False,False
2020-12-01,ACB,10.21,10.24,10.06,10.24,9242900,1.7578124999999973,False,False
2020-12-09,ACB,10.54,10.86,10.43,10.71,24200930,4.0149393090569525,False,False
2020-12-10,ACB,10.81,10.81,10.47,10.49,9233750,3.241182078169684,False,False
2020-12-11,ACB,10.54,10.6,10.43,10.58,4459820,1.6068052930056704,False,False
2020-12-14,ACB,10.62,10.69,10.54,10.58,7325960,1.4177693761814778,False,False
2020-12-15,ACB,10.58,10.6,10.47,10.51,7305490,1.2369172216936155,False,False
2020-12-16,ACB,10.52,10.67,10.51,10.6,10461450,1.5094339622641524,False,False
2020-12-17,ACB,10.54,10.82,10.52,10.62,13567290,2.8248587570621537,False,False
2020-12-18,ACB,10.67,10.75,10.62,10.66,11693630,1.2195121951219585,False,False
