,ACB,BCM,BID,CTG,DGC,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,1.0,0.3484853993845052,0.6587869785225421,0.6885888500239937,0.38310656235225937,0.5507682881115602,0.42954146964298423,0.4695565607063001,0.6227909551213789,0.5427364506145036,0.5968718998318496,0.7638873718257291,0.38952453541528836,0.547226874328611,0.4875388235434592,0.2970493759239758,0.5221614656216296,0.5877497290814913,0.6425410973896296,0.7078524951247056,0.5833962211587471,0.5336363197182125,0.4025823722316404,0.642634746904811,0.3096185744636092,0.32816930949521633,0.4142990805532957,0.6515316228674809,0.4231455552990246
BCM,0.3484853993845052,1.0,0.34438764239611136,0.35309479778558134,0.34435427291501125,0.34256606740997614,0.36809562187403577,0.38359645835211287,0.33886819665385176,0.3117784677103783,0.2573297354347343,0.3748862052911291,0.3223627924956898,0.40659140025221135,0.3525096313500179,0.2578809079165853,0.26004720959138355,0.35513321907150447,0.33493596423414845,0.35115960499086646,0.29925681781254165,0.29649531707596904,0.3423180383241192,0.3199626592811261,0.28001433465855674,0.25571523194854334,0.30176192660900475,0.34178440819963785,0.36207860488841775
BID,0.6587869785225421,0.34438764239611136,1.0,0.7356697657232317,0.3642738444456141,0.509386438362251,0.47704851128932574,0.43842304835571827,0.6034965127909147,0.5343939156791864,0.5410002180165804,0.7105674823639676,0.3927749371452441,0.5523110299649882,0.5124340750881744,0.3646989443374,0.46737906220045994,0.5759069739873964,0.6299256021355734,0.651012710872939,0.5120453265984362,0.5815533419834829,0.3980585243238107,0.5723687435712673,0.3285657695686581,0.31562937088782317,0.4355668235350656,0.6123181550496849,0.4948248148076719
CTG,0.6885888500239937,0.35309479778558134,0.7356697657232317,1.0,0.40845365560058616,0.5281458657259916,0.44887019785373666,0.4676105708734032,0.6307693807962577,0.5550938999706883,0.5902602987903842,0.764762665623991,0.4162631858556583,0.5436592294742685,0.4893249230208202,0.328542547283143,0.4997634710075446,0.6192658031287523,0.662204081780052,0.6911078368223807,0.5814528884735489,0.5517918684025827,0.4153161836795048,0.6078147265770724,0.3525678798060436,0.2789325693791408,0.3933627536988989,0.6448008824250053,0.47701493369906267
DGC,0.38310656235225937,0.34435427291501125,0.3642738444456141,0.40845365560058616,1.0,0.4615430985771054,0.4265263079615163,0.44527578868142026,0.3397219785817879,0.4392904313479549,0.31727690538559583,0.42123926245399396,0.3818612050274287,0.4867501784033875,0.42189719966465,0.2121236523211448,0.307366453275059,0.4380611502500378,0.3607150228400637,0.3999320652534893,0.33834762288269304,0.28896414439524176,0.2555516719808517,0.36196290610695603,0.2194076725644346,0.2123061901981224,0.2795172249244522,0.34835848575871375,0.2948147280563097
FPT,0.5507682881115602,0.34256606740997614,0.509386438362251,0.5281458657259916,0.4615430985771054,1.0,0.4816622087946364,0.45443614712135255,0.4955684156980092,0.5117938990964717,0.4429106983137727,0.556961496899187,0.41041527068776223,0.5643682092248612,0.4757861079109237,0.3281908119068231,0.3741269826502809,0.5171703857408406,0.4819905058865566,0.5298606067267014,0.45491477903202193,0.41805537463093234,0.36722314175954673,0.46011125519230517,0.2854664815486355,0.2935299990300815,0.42176833715928147,0.49715300378816585,0.38035213743441565
GAS,0.42954146964298423,0.36809562187403577,0.47704851128932574,0.44887019785373666,0.4265263079615163,0.4816622087946364,1.0,0.41673363745655745,0.41435435159256834,0.44477088195257003,0.356096217578381,0.46373147682700183,0.42751730472941857,0.4992677683716266,0.5990678193657117,0.36864789276530596,0.2741578438330909,0.42786628415251465,0.39920623156196144,0.4326419328218711,0.3211752216789689,0.4382894081118741,0.3518179545451883,0.37950420575005434,0.2957511130656268,0.299481917460466,0.39720056948480154,0.4158656189867541,0.3986603310001166
GVR,0.4695565607063001,0.38359645835211287,0.43842304835571827,0.4676105708734032,0.44527578868142026,0.45443614712135255,0.41673363745655745,1.0,0.4055565964356961,0.5000529569267251,0.42104912964372687,0.5056734634038711,0.4117355594301214,0.43767170974196634,0.4916917943607859,0.2621992022771337,0.4333489345243632,0.5807898639351741,0.45327273308205535,0.4918411815119565,0.4396415497893798,0.2893185040109282,0.35114253406536156,0.42869028739295545,0.2661200540403607,0.2801042238974132,0.32529715570423123,0.4510708232544522,0.4014029441703554
HDB,0.6227909551213789,0.33886819665385176,0.6034965127909147,0.6307693807962577,0.3397219785817879,0.4955684156980092,0.41435435159256834,0.4055565964356961,1.0,0.5052135587977578,0.5352269077606066,0.6874917157696688,0.36443723360471414,0.5298103917537554,0.4582757694400358,0.31913434181240036,0.4687029305039318,0.5479681489854353,0.6017362843059687,0.6688078797377325,0.5574818668860955,0.5212170984899176,0.39218501647443843,0.5861035849453856,0.33195709182388106,0.3999356692366511,0.37609033301959394,0.5978867741040386,0.45427390223517855
HPG,0.5427364506145036,0.3117784677103783,0.5343939156791864,0.5550938999706883,0.4392904313479549,0.5117938990964717,0.44477088195257003,0.5000529569267251,0.5052135587977578,1.0,0.448660092866263,0.6073732566310677,0.4528953937021968,0.5274844577100498,0.4773060899711075,0.2879399145124818,0.421415082622997,0.6350632766539257,0.5293023448431524,0.5663803123969199,0.4763268320666166,0.4442892268857097,0.40612629497462194,0.5263336654473936,0.31801855211770635,0.28985629748893793,0.3614295490241801,0.527654075687249,0.42262011592610027
LPB,0.5968718998318496,0.2573297354347343,0.5410002180165804,0.5902602987903842,0.31727690538559583,0.4429106983137727,0.356096217578381,0.42104912964372687,0.5352269077606066,0.448660092866263,1.0,0.6470397017391337,0.30514845551278835,0.4393832749956418,0.38908787269564954,0.2572064972684385,0.5135484967756581,0.5232445449067908,0.6097816086054902,0.6077863177005299,0.4797708869621451,0.4012824083819843,0.3081305016518943,0.599266760781609,0.255080178821361,0.1980547929915072,0.31527269266510166,0.5376705742071894,0.3696212805752387
MBB,0.7638873718257291,0.3748862052911291,0.7105674823639676,0.764762665623991,0.42123926245399396,0.556961496899187,0.46373147682700183,0.5056734634038711,0.6874917157696688,0.6073732566310677,0.6470397017391337,1.0,0.42796605246948627,0.6018205590302642,0.5293149921685391,0.3186972814689114,0.557751786873102,0.6571574588324114,0.7189303335979994,0.7974121609205388,0.6403407300554212,0.5551494369221847,0.43670764894277814,0.6845448676910966,0.33548682833358845,0.3234415567300051,0.4171181169006425,0.6930241369789337,0.5110014853813013
MSN,0.38952453541528836,0.3223627924956898,0.3927749371452441,0.4162631858556583,0.3818612050274287,0.41041527068776223,0.42751730472941857,0.4117355594301214,0.36443723360471414,0.4528953937021968,0.30514845551278835,0.42796605246948627,1.0,0.48786687163752385,0.38424729307250566,0.3386262491508473,0.3343890118589937,0.4472005829578256,0.4008882454300841,0.42075115984773054,0.3659025283249367,0.37867217506561224,0.37805171624656836,0.3554677865819608,0.2979131616005037,0.3035387257192405,0.3624049779087661,0.38702090603690514,0.39538308637758035
MWG,0.547226874328611,0.40659140025221135,0.5523110299649882,0.5436592294742685,0.4867501784033875,0.5643682092248612,0.4992677683716266,0.43767170974196634,0.5298103917537554,0.5274844577100498,0.4393832749956418,0.6018205590302642,0.48786687163752385,1.0,0.499797019069701,0.3575485567198266,0.39101832954247645,0.5404296536277774,0.5159107339946712,0.5822333940040496,0.42858704065990216,0.44350575310559487,0.42249273168926677,0.4997769143622751,0.33703122021067866,0.3253578257981496,0.39603796166382177,0.5379406937556472,0.43353008853155656
PLX,0.4875388235434592,0.3525096313500179,0.5124340750881744,0.4893249230208202,0.42189719966465,0.4757861079109237,0.5990678193657117,0.4916917943607859,0.4582757694400358,0.4773060899711075,0.38908787269564954,0.5293149921685391,0.38424729307250566,0.499797019069701,1.0,0.33087974862501657,0.341558200905443,0.4830029902429718,0.43188413798182057,0.5012888287638846,0.3592047697146377,0.4153143727415514,0.3364731137200726,0.422491018405582,0.2967398751151312,0.34561101563726504,0.4140315548616711,0.46749630981516926,0.40234458612467977
SAB,0.2970493759239758,0.2578809079165853,0.3646989443374,0.328542547283143,0.2121236523211448,0.3281908119068231,0.36864789276530596,0.2621992022771337,0.31913434181240036,0.2879399145124818,0.2572064972684385,0.3186972814689114,0.3386262491508473,0.3575485567198266,0.33087974862501657,1.0,0.1779376465772068,0.2781972858219888,0.27451474651959495,0.3230710709707153,0.22490092071897969,0.3530802999286822,0.2807060626725058,0.30774989581735906,0.2605025156986741,0.31144162436230366,0.3702552898970488,0.34954672058601194,0.3506146190180576
SHB,0.5221614656216296,0.26004720959138355,0.46737906220045994,0.4997634710075446,0.307366453275059,0.3741269826502809,0.2741578438330909,0.4333489345243632,0.4687029305039318,0.421415082622997,0.5135484967756581,0.557751786873102,0.3343890118589937,0.39101832954247645,0.341558200905443,0.1779376465772068,1.0,0.4726507529291752,0.5200323889628415,0.5049940419836618,0.4577307966885176,0.344360924303745,0.31042834159908445,0.471362304130556,0.24531705277408739,0.25058776628382295,0.28221535559667865,0.49249031911321733,0.3331408412216836
SSI,0.5877497290814913,0.35513321907150447,0.5759069739873964,0.6192658031287523,0.4380611502500378,0.5171703857408406,0.42786628415251465,0.5807898639351741,0.5479681489854353,0.6350632766539257,0.5232445449067908,0.6571574588324114,0.4472005829578256,0.5404296536277774,0.4830029902429718,0.2781972858219888,0.4726507529291752,1.0,0.6150704844563138,0.6181614512934791,0.5608513747324233,0.42173877195563275,0.43657207765064215,0.5700763117011011,0.33666285752658387,0.31423993067860234,0.3910031147129142,0.5700078987656705,0.48379097786645375
STB,0.6425410973896296,0.33493596423414845,0.6299256021355734,0.662204081780052,0.3607150228400637,0.4819905058865566,0.39920623156196144,0.45327273308205535,0.6017362843059687,0.5293023448431524,0.6097816086054902,0.7189303335979994,0.4008882454300841,0.5159107339946712,0.43188413798182057,0.27451474651959495,0.5200323889628415,0.6150704844563138,1.0,0.6900237350545201,0.5759554535136591,0.43466215461204116,0.40401336106197566,0.6167397944064474,0.2812241667620623,0.25589908297401937,0.3622563057446491,0.6051664114494821,0.4537998635583014
TCB,0.7078524951247056,0.35115960499086646,0.651012710872939,0.6911078368223807,0.3999320652534893,0.5298606067267014,0.4326419328218711,0.4918411815119565,0.6688078797377325,0.5663803123969199,0.6077863177005299,0.7974121609205388,0.42075115984773054,0.5822333940040496,0.5012888287638846,0.3230710709707153,0.5049940419836618,0.6181614512934791,0.6900237350545201,1.0,0.6121520734086466,0.5042593555148435,0.4436375383513407,0.654081106269556,0.34693788459621344,0.329644710234598,0.39650033290513886,0.6926884028381345,0.5024185156257197
TPB,0.5833962211587471,0.29925681781254165,0.5120453265984362,0.5814528884735489,0.33834762288269304,0.45491477903202193,0.3211752216789689,0.4396415497893798,0.5574818668860955,0.4763268320666166,0.4797708869621451,0.6403407300554212,0.3659025283249367,0.42858704065990216,0.3592047697146377,0.22490092071897969,0.4577307966885176,0.5608513747324233,0.5759554535136591,0.6121520734086466,1.0,0.3718115113311077,0.3428910816800794,0.560877088225162,0.2279854986487267,0.23495072004273598,0.3162858410296592,0.5908759724614882,0.3854763153548209
VCB,0.5336363197182125,0.29649531707596904,0.5815533419834829,0.5517918684025827,0.28896414439524176,0.41805537463093234,0.4382894081118741,0.2893185040109282,0.5212170984899176,0.4442892268857097,0.4012824083819843,0.5551494369221847,0.37867217506561224,0.44350575310559487,0.4153143727415514,0.3530802999286822,0.344360924303745,0.42173877195563275,0.43466215461204116,0.5042593555148435,0.3718115113311077,1.0,0.4145151410897736,0.4640067202208986,0.33407111107616144,0.35938844418103844,0.4409028111998258,0.4747696349187035,0.46016831153378784
VHM,0.4025823722316404,0.3423180383241192,0.3980585243238107,0.4153161836795048,0.2555516719808517,0.36722314175954673,0.3518179545451883,0.35114253406536156,0.39218501647443843,0.40612629497462194,0.3081305016518943,0.43670764894277814,0.37805171624656836,0.42249273168926677,0.3364731137200726,0.2807060626725058,0.31042834159908445,0.43657207765064215,0.40401336106197566,0.4436375383513407,0.3428910816800794,0.4145151410897736,1.0,0.34254230220945914,0.6280852169135946,0.28435713094758336,0.36236389197634533,0.3940723028031486,0.6188918416609529
VIB,0.642634746904811,0.3199626592811261,0.5723687435712673,0.6078147265770724,0.36196290610695603,0.46011125519230517,0.37950420575005434,0.42869028739295545,0.5861035849453856,0.5263336654473936,0.599266760781609,0.6845448676910966,0.3554677865819608,0.4997769143622751,0.422491018405582,0.30774989581735906,0.471362304130556,0.5700763117011011,0.6167397944064474,0.654081106269556,0.560877088225162,0.4640067202208986,0.34254230220945914,1.0,0.2813381526378264,0.2522299756386011,0.34834547545326405,0.6363871308752025,0.40593714205849435
VIC,0.3096185744636092,0.28001433465855674,0.3285657695686581,0.3525678798060436,0.2194076725644346,0.2854664815486355,0.2957511130656268,0.2661200540403607,0.33195709182388106,0.31801855211770635,0.255080178821361,0.33548682833358845,0.2979131616005037,0.33703122021067866,0.2967398751151312,0.2605025156986741,0.24531705277408739,0.33666285752658387,0.2812241667620623,0.34693788459621344,0.2279854986487267,0.33407111107616144,0.6280852169135946,0.2813381526378264,1.0,0.2820731710214944,0.31140524445289974,0.3033591058715896,0.5085487136192534
VJC,0.32816930949521633,0.25571523194854334,0.31562937088782317,0.2789325693791408,0.2123061901981224,0.2935299990300815,0.299481917460466,0.2801042238974132,0.3999356692366511,0.28985629748893793,0.1980547929915072,0.3234415567300051,0.3035387257192405,0.3253578257981496,0.34561101563726504,0.31144162436230366,0.25058776628382295,0.31423993067860234,0.25589908297401937,0.329644710234598,0.23495072004273598,0.35938844418103844,0.28435713094758336,0.2522299756386011,0.2820731710214944,1.0,0.3401226827501857,0.32855576751446064,0.3142673501395843
VNM,0.4142990805532957,0.30176192660900475,0.4355668235350656,0.3933627536988989,0.2795172249244522,0.42176833715928147,0.39720056948480154,0.32529715570423123,0.37609033301959394,0.3614295490241801,0.31527269266510166,0.4171181169006425,0.3624049779087661,0.39603796166382177,0.4140315548616711,0.3702552898970488,0.28221535559667865,0.3910031147129142,0.3622563057446491,0.39650033290513886,0.3162858410296592,0.4409028111998258,0.36236389197634533,0.34834547545326405,0.31140524445289974,0.3401226827501857,1.0,0.39087628150458653,0.3927411279466286
VPB,0.6515316228674809,0.34178440819963785,0.6123181550496849,0.6448008824250053,0.34835848575871375,0.49715300378816585,0.4158656189867541,0.4510708232544522,0.5978867741040386,0.527654075687249,0.5376705742071894,0.6930241369789337,0.38702090603690514,0.5379406937556472,0.46749630981516926,0.34954672058601194,0.49249031911321733,0.5700078987656705,0.6051664114494821,0.6926884028381345,0.5908759724614882,0.4747696349187035,0.3940723028031486,0.6363871308752025,0.3033591058715896,0.32855576751446064,0.39087628150458653,1.0,0.4710020676555132
VRE,0.4231455552990246,0.36207860488841775,0.4948248148076719,0.47701493369906267,0.2948147280563097,0.38035213743441565,0.3986603310001166,0.4014029441703554,0.45427390223517855,0.42262011592610027,0.3696212805752387,0.5110014853813013,0.39538308637758035,0.43353008853155656,0.40234458612467977,0.3506146190180576,0.3331408412216836,0.48379097786645375,0.4537998635583014,0.5024185156257197,0.3854763153548209,0.46016831153378784,0.6188918416609529,0.40593714205849435,0.5085487136192534,0.3142673501395843,0.3927411279466286,0.4710020676555132,1.0
